country,population,gdp,countryLabel,continent,continentLabel,lon,lat,coordinate_location,image
http://www.wikidata.org/entity/Q211,1883008,39725383601,Latvia,http://www.wikidata.org/entity/Q46,Europe,25,57,"25,57",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Latvia%20in%20March%202003.jpg
http://www.wikidata.org/entity/Q1007,1861283,1633559092,Guinea-Bissau,http://www.wikidata.org/entity/Q15,Africa,-15,12,"-15,12",http://commons.wikimedia.org/wiki/Special:FilePath/Bissau%20city%20center.jpg
http://www.wikidata.org/entity/Q221,1836713,13563132057,North Macedonia,http://www.wikidata.org/entity/Q46,Europe,21.716667,41.65,"21.716667,41.65",http://commons.wikimedia.org/wiki/Special:FilePath/Map%20of%20the%20Republic%20of%20Macedonia-mk.svg
http://www.wikidata.org/entity/Q398,1492584,39303403989,Bahrain,http://www.wikidata.org/entity/Q48,Asia,50.551111,26.0675,"50.551111,26.0675",http://commons.wikimedia.org/wiki/Special:FilePath/ISS040-E-105381%20-%20View%20of%20Bahrain.jpg
http://www.wikidata.org/entity/Q754,1369125,24460196270,Trinidad and Tobago,http://www.wikidata.org/entity/Q49,North America,-61.51666667,10.66666667,"-61.516666666,10.666666666",http://commons.wikimedia.org/wiki/Special:FilePath/Pigeon%20Point%20beach.jpg
http://www.wikidata.org/entity/Q574,1296311,3163324631,East Timor,http://www.wikidata.org/entity/Q48,Asia,125.75,-8.966667,"125.75,-8.966667",http://commons.wikimedia.org/wiki/Special:FilePath/Lospalos%20klein.jpg
http://www.wikidata.org/entity/Q983,1267689,11813908448,Equatorial Guinea,http://www.wikidata.org/entity/Q15,Africa,10,1.5,"10,1.5",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Great%20Bioko%20mountain.jpg
http://www.wikidata.org/entity/Q1027,1264613,11476433604,Mauritius,http://www.wikidata.org/entity/Q15,Africa,57.5,-20.2,"57.5,-20.2",http://commons.wikimedia.org/wiki/Special:FilePath/Mauritius%2023.08.2009%2011-42-31.jpg
http://www.wikidata.org/entity/Q977,956985,3372287462,Djibouti,http://www.wikidata.org/entity/Q15,Africa,42.433333,11.8,"42.433333,11.8",http://commons.wikimedia.org/wiki/Special:FilePath/ISS006-E-41979%20-%20View%20of%20Djibouti.jpg
http://www.wikidata.org/entity/Q712,905502,4296235428,Fiji,http://www.wikidata.org/entity/Q538,Insular Oceania,178,-18,"178,-18",http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9A%D1%83%D0%B8%D0%BD%D1%81-%D1%80%D0%BE%D1%83%D0%B4%2C%20%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%20%D0%9D%D0%B0%D0%BD%D0%B4%D0%B8%20%28Queens%20Rd.%2C%20Nadi%29.jpg
http://www.wikidata.org/entity/Q32,660809,82274812251,Luxembourg,http://www.wikidata.org/entity/Q46,Europe,6.13,49.77,"6.13,49.77",http://commons.wikimedia.org/wiki/Special:FilePath/Greinskapell%2C%20Luxembourg%20City%206.JPG
http://www.wikidata.org/entity/Q236,622359,5861430526,Montenegro,http://www.wikidata.org/entity/Q46,Europe,19.216667,42.766667,"19.216667,42.766667",http://commons.wikimedia.org/wiki/Special:FilePath/R-1%20regional%20road%20%28Montenegro%29%2007.jpg
http://www.wikidata.org/entity/Q1011,555988,2091741774,Cape Verde,http://www.wikidata.org/entity/Q15,Africa,-23.7,15.3,"-23.7,15.3",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Cape%20Verde%20in%20December%202002.jpg
